demographic,r,ci_lo,ci_hi
age,0.933547322258654,0.8678646904910463,0.9232363498064513
gender,0.924541402495708,0.7471574486883249,0.9183840687598971
region,0.9823215280765605,0.9497093507893852,0.9781714584571055
